Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_reset_uart[3:0],probe2_liveness[2:0],probe3_pc_activity[31:0],probe4_nice_csr[31:0],probe5_nice_hs[3:0],probe6_mem_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,80000408,d,0,006a4df8,00000000,4,1
1,1,0,80000408,d,0,006a4df8,00000000,4,1
2,2,0,80000400,d,4,006a4df9,00000000,4,1
3,3,0,80000400,d,0,006a4df9,00000000,4,1
4,4,0,80000400,d,0,006a4df9,00000000,4,1
5,5,0,80000402,d,4,006a4dfa,00000000,4,1
6,6,0,80000402,d,0,006a4dfa,00000000,4,1
7,7,0,80000402,d,0,006a4dfa,00000000,4,1
8,8,0,80000404,d,4,006a4dfb,00000000,4,1
9,9,0,80000404,d,0,006a4dfb,00000000,4,1
10,10,0,80000404,d,0,006a4dfb,00000000,4,1
11,11,0,800003ea,d,4,006a4dfc,00000000,4,1
12,12,0,800003ea,d,0,006a4dfc,00000000,4,1
13,13,0,800003ea,d,0,006a4dfc,00000000,4,1
14,14,0,80000406,d,4,006a4dfd,00000000,4,1
15,15,0,80000406,d,0,006a4dfd,00000000,4,1
16,16,0,80000406,d,0,006a4dfd,00000000,4,1
17,17,0,80000406,d,0,006a4dfd,00000000,4,1
18,18,0,80000406,d,0,006a4dfd,00000000,4,1
19,19,0,80000406,d,0,006a4dfd,00000000,4,1
20,20,0,80000406,d,0,006a4dfd,00000000,4,1
21,21,0,80000408,d,4,006a4dfe,00000000,4,1
22,22,0,80000408,d,0,006a4dfe,00000000,4,1
23,23,0,80000408,d,0,006a4dfe,00000000,4,1
24,24,0,80000400,d,4,006a4dff,00000000,4,1
25,25,0,80000400,d,0,006a4dff,00000000,4,1
26,26,0,80000400,d,0,006a4dff,00000000,4,1
27,27,0,80000402,d,4,006a4e00,00000000,4,1
28,28,0,80000402,d,0,006a4e00,00000000,4,1
29,29,0,80000402,d,0,006a4e00,00000000,4,1
30,30,0,80000404,d,4,006a4e01,00000000,4,1
31,31,0,80000404,d,0,006a4e01,00000000,4,1
32,32,0,80000404,d,0,006a4e01,00000000,4,1
33,33,0,800003ea,d,4,006a4e02,00000000,4,1
34,34,0,800003ea,d,0,006a4e02,00000000,4,1
35,35,0,800003ea,d,0,006a4e02,00000000,4,1
36,36,0,80000406,d,4,006a4e03,00000000,4,1
37,37,0,80000406,d,0,006a4e03,00000000,4,1
38,38,0,80000406,d,0,006a4e03,00000000,4,1
39,39,0,80000406,d,0,006a4e03,00000000,4,1
40,40,0,80000406,d,0,006a4e03,00000000,4,1
41,41,0,80000406,d,0,006a4e03,00000000,4,1
42,42,0,80000406,d,0,006a4e03,00000000,4,1
43,43,0,80000408,d,4,006a4e04,00000000,4,1
44,44,0,80000408,d,0,006a4e04,00000000,4,1
45,45,0,80000408,d,0,006a4e04,00000000,4,1
46,46,0,80000400,d,4,006a4e05,00000000,4,1
47,47,0,80000400,d,0,006a4e05,00000000,4,1
48,48,0,80000400,d,0,006a4e05,00000000,4,1
49,49,0,80000402,d,4,006a4e06,00000000,4,1
50,50,0,80000402,d,0,006a4e06,00000000,4,1
51,51,0,80000402,d,0,006a4e06,00000000,4,1
52,52,0,80000404,d,4,006a4e07,00000000,4,1
53,53,0,80000404,d,0,006a4e07,00000000,4,1
54,54,0,80000404,d,0,006a4e07,00000000,4,1
55,55,0,800003ea,d,4,006a4e08,00000000,4,1
56,56,0,800003ea,d,0,006a4e08,00000000,4,1
57,57,0,800003ea,d,0,006a4e08,00000000,4,1
58,58,0,80000406,d,4,006a4e09,00000000,4,1
59,59,0,80000406,d,0,006a4e09,00000000,4,1
60,60,0,80000406,d,0,006a4e09,00000000,4,1
61,61,0,80000406,d,0,006a4e09,00000000,4,1
62,62,0,80000406,d,0,006a4e09,00000000,4,1
63,63,0,80000406,d,0,006a4e09,00000000,4,1
64,64,0,80000408,d,4,006a4e0a,00000000,4,1
65,65,0,80000408,d,0,006a4e0a,00000000,4,1
66,66,0,80000408,d,0,006a4e0a,00000000,4,1
67,67,0,80000408,d,0,006a4e0a,00000000,4,1
68,68,0,80000400,d,4,006a4e0b,00000000,4,1
69,69,0,80000400,d,0,006a4e0b,00000000,4,1
70,70,0,80000400,d,0,006a4e0b,00000000,4,1
71,71,0,80000402,d,4,006a4e0c,00000000,4,1
72,72,0,80000402,d,0,006a4e0c,00000000,4,1
73,73,0,80000402,d,0,006a4e0c,00000000,4,1
74,74,0,80000404,d,4,006a4e0d,00000000,4,1
75,75,0,80000404,d,0,006a4e0d,00000000,4,1
76,76,0,80000404,d,0,006a4e0d,00000000,4,1
