Sample in Buffer,Sample in Window,TRIGGER,probe0_counter[31:0],probe1_reset[3:0],probe2_inputs[2:0],probe3_zero[31:0],probe4_zero[31:0],probe5_jtag[3:0],probe6_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,01595fdb,c,7,00000000,00000000,f,4
1,1,0,01595fdc,c,7,00000000,00000000,f,4
2,2,0,01595fdd,c,7,00000000,00000000,f,4
3,3,0,01595fde,c,7,00000000,00000000,f,4
4,4,0,01595fdf,c,7,00000000,00000000,f,4
5,5,0,01595fe0,c,7,00000000,00000000,f,4
6,6,0,01595fe1,c,7,00000000,00000000,f,4
7,7,0,01595fe2,c,7,00000000,00000000,f,4
8,8,0,01595fe3,c,7,00000000,00000000,f,4
9,9,0,01595fe4,c,7,00000000,00000000,f,4
10,10,0,01595fe5,c,7,00000000,00000000,f,4
11,11,0,01595fe6,c,7,00000000,00000000,f,4
12,12,0,01595fe7,c,7,00000000,00000000,f,4
13,13,0,01595fe8,c,7,00000000,00000000,f,4
14,14,0,01595fe9,c,7,00000000,00000000,f,4
15,15,0,01595fea,c,7,00000000,00000000,f,4
16,16,0,01595feb,c,7,00000000,00000000,f,4
17,17,0,01595fec,c,7,00000000,00000000,f,4
18,18,0,01595fed,c,7,00000000,00000000,f,4
19,19,0,01595fee,c,7,00000000,00000000,f,4
20,20,0,01595fef,c,7,00000000,00000000,f,4
21,21,0,01595ff0,c,7,00000000,00000000,f,4
22,22,0,01595ff1,c,7,00000000,00000000,f,4
23,23,0,01595ff2,c,7,00000000,00000000,f,4
24,24,0,01595ff3,c,7,00000000,00000000,f,4
25,25,0,01595ff4,c,7,00000000,00000000,f,4
26,26,0,01595ff5,c,7,00000000,00000000,f,4
27,27,0,01595ff6,c,7,00000000,00000000,f,4
28,28,0,01595ff7,c,7,00000000,00000000,f,4
29,29,0,01595ff8,c,7,00000000,00000000,f,4
30,30,0,01595ff9,c,7,00000000,00000000,f,4
31,31,0,01595ffa,c,7,00000000,00000000,f,4
32,32,0,01595ffb,c,7,00000000,00000000,f,4
33,33,0,01595ffc,c,7,00000000,00000000,f,4
34,34,0,01595ffd,c,7,00000000,00000000,f,4
35,35,0,01595ffe,c,7,00000000,00000000,f,4
36,36,0,01595fff,c,7,00000000,00000000,f,4
37,37,0,01596000,c,7,00000000,00000000,f,4
38,38,0,01596001,c,7,00000000,00000000,f,4
39,39,0,01596002,c,7,00000000,00000000,f,4
40,40,0,01596003,c,7,00000000,00000000,f,4
41,41,0,01596004,c,7,00000000,00000000,f,4
42,42,0,01596005,c,7,00000000,00000000,f,4
43,43,0,01596006,c,7,00000000,00000000,f,4
44,44,0,01596007,c,7,00000000,00000000,f,4
45,45,0,01596008,c,7,00000000,00000000,f,4
46,46,0,01596009,c,7,00000000,00000000,f,4
47,47,0,0159600a,c,7,00000000,00000000,f,4
48,48,0,0159600b,c,7,00000000,00000000,f,4
49,49,0,0159600c,c,7,00000000,00000000,f,4
50,50,0,0159600d,c,7,00000000,00000000,f,4
51,51,0,0159600e,c,7,00000000,00000000,f,4
52,52,0,0159600f,c,7,00000000,00000000,f,4
53,53,0,01596010,c,7,00000000,00000000,f,4
54,54,0,01596011,c,7,00000000,00000000,f,4
55,55,0,01596012,c,7,00000000,00000000,f,4
56,56,0,01596013,c,7,00000000,00000000,f,4
57,57,0,01596014,c,7,00000000,00000000,f,4
58,58,0,01596015,c,7,00000000,00000000,f,4
59,59,0,01596016,c,7,00000000,00000000,f,4
60,60,0,01596017,c,7,00000000,00000000,f,4
61,61,0,01596018,c,7,00000000,00000000,f,4
62,62,0,01596019,c,7,00000000,00000000,f,4
63,63,0,0159601a,c,7,00000000,00000000,f,4
64,64,0,0159601b,c,7,00000000,00000000,f,4
65,65,0,0159601c,c,7,00000000,00000000,f,4
66,66,0,0159601d,c,7,00000000,00000000,f,4
67,67,0,0159601e,c,7,00000000,00000000,f,4
68,68,0,0159601f,c,7,00000000,00000000,f,4
69,69,0,01596020,c,7,00000000,00000000,f,4
70,70,0,01596021,c,7,00000000,00000000,f,4
71,71,0,01596022,c,7,00000000,00000000,f,4
72,72,0,01596023,c,7,00000000,00000000,f,4
73,73,0,01596024,c,7,00000000,00000000,f,4
74,74,0,01596025,c,7,00000000,00000000,f,4
75,75,0,01596026,c,7,00000000,00000000,f,4
76,76,0,01596027,c,7,00000000,00000000,f,4
77,77,0,01596028,c,7,00000000,00000000,f,4
78,78,0,01596029,c,7,00000000,00000000,f,4
79,79,0,0159602a,c,7,00000000,00000000,f,4
80,80,0,0159602b,c,7,00000000,00000000,f,4
81,81,0,0159602c,c,7,00000000,00000000,f,4
82,82,0,0159602d,c,7,00000000,00000000,f,4
83,83,0,0159602e,c,7,00000000,00000000,f,4
84,84,0,0159602f,c,7,00000000,00000000,f,4
85,85,0,01596030,c,7,00000000,00000000,f,4
86,86,0,01596031,c,7,00000000,00000000,f,4
87,87,0,01596032,c,7,00000000,00000000,f,4
88,88,0,01596033,c,7,00000000,00000000,f,4
89,89,0,01596034,c,7,00000000,00000000,f,4
90,90,0,01596035,c,7,00000000,00000000,f,4
91,91,0,01596036,c,7,00000000,00000000,f,4
92,92,0,01596037,c,7,00000000,00000000,f,4
93,93,0,01596038,c,7,00000000,00000000,f,4
94,94,0,01596039,c,7,00000000,00000000,f,4
95,95,0,0159603a,c,7,00000000,00000000,f,4
96,96,0,0159603b,c,7,00000000,00000000,f,4
97,97,0,0159603c,c,7,00000000,00000000,f,4
