Sample in Buffer,Sample in Window,TRIGGER,probe0_sysclk_counter[31:0],probe1_reset[3:0],probe2_inputs[2:0],probe3_clk16_edges[31:0],probe4_clk16_state[31:0],probe5_jtag[3:0],probe6_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,01640b7d,c,4,0000e3da,ed00e3da,f,4
1,1,0,01640b7e,c,4,0000e3da,ed00e3da,f,4
2,2,0,01640b7f,c,4,0000e3da,ed00e3da,f,4
3,3,0,01640b80,c,4,0000e3da,ed00e3da,f,4
4,4,0,01640b81,c,4,0000e3da,ed00e3da,f,4
5,5,0,01640b82,c,4,0000e3da,ed00e3da,f,4
6,6,0,01640b83,c,4,0000e3da,ed00e3da,f,4
7,7,0,01640b84,c,4,0000e3da,ed00e3da,f,4
8,8,0,01640b85,c,4,0000e3da,ed00e3da,f,4
9,9,0,01640b86,c,4,0000e3da,ed00e3da,f,4
10,10,0,01640b87,c,4,0000e3da,ed00e3da,f,4
11,11,0,01640b88,c,4,0000e3da,ed00e3da,f,4
12,12,0,01640b89,c,4,0000e3da,ed00e3da,f,4
13,13,0,01640b8a,c,4,0000e3da,ed00e3da,f,4
14,14,0,01640b8b,c,4,0000e3da,ed00e3da,f,4
15,15,0,01640b8c,c,4,0000e3da,ed00e3da,f,4
16,16,0,01640b8d,c,4,0000e3da,ed00e3da,f,4
17,17,0,01640b8e,c,4,0000e3da,ed00e3da,f,4
18,18,0,01640b8f,c,4,0000e3da,ed00e3da,f,4
19,19,0,01640b90,c,4,0000e3da,ed00e3da,f,4
20,20,0,01640b91,c,4,0000e3da,ed00e3da,f,4
21,21,0,01640b92,c,4,0000e3da,ed00e3da,f,4
22,22,0,01640b93,c,4,0000e3da,ed00e3da,f,4
23,23,0,01640b94,c,4,0000e3da,ed00e3da,f,4
24,24,0,01640b95,c,4,0000e3da,ed00e3da,f,4
25,25,0,01640b96,c,4,0000e3da,ed00e3da,f,4
26,26,0,01640b97,c,4,0000e3da,ed00e3da,f,4
27,27,0,01640b98,c,4,0000e3da,ed00e3da,f,4
28,28,0,01640b99,c,4,0000e3da,ed00e3da,f,4
29,29,0,01640b9a,c,4,0000e3da,ed00e3da,f,4
30,30,0,01640b9b,c,4,0000e3da,ed00e3da,f,4
31,31,0,01640b9c,c,4,0000e3da,ed00e3da,f,4
32,32,0,01640b9d,c,4,0000e3da,ed00e3da,f,4
33,33,0,01640b9e,c,4,0000e3da,ed00e3da,f,4
34,34,0,01640b9f,c,4,0000e3da,ed00e3da,f,4
35,35,0,01640ba0,c,4,0000e3da,ed00e3da,f,4
36,36,0,01640ba1,c,4,0000e3da,ed00e3da,f,4
37,37,0,01640ba2,c,4,0000e3da,ed00e3da,f,4
38,38,0,01640ba3,c,4,0000e3da,ed00e3da,f,4
39,39,0,01640ba4,c,4,0000e3da,ed00e3da,f,4
40,40,0,01640ba5,c,4,0000e3da,ed00e3da,f,4
41,41,0,01640ba6,c,4,0000e3da,ed00e3da,f,4
42,42,0,01640ba7,c,4,0000e3da,ed00e3da,f,4
43,43,0,01640ba8,c,4,0000e3da,ed00e3da,f,4
44,44,0,01640ba9,c,4,0000e3da,ed00e3da,f,4
45,45,0,01640baa,c,4,0000e3da,ed00e3da,f,4
46,46,0,01640bab,c,4,0000e3da,ed00e3da,f,4
47,47,0,01640bac,c,4,0000e3da,ed00e3da,f,4
48,48,0,01640bad,c,4,0000e3da,ed00e3da,f,4
49,49,0,01640bae,c,4,0000e3da,ed00e3da,f,4
50,50,0,01640baf,c,4,0000e3da,ed00e3da,f,4
51,51,0,01640bb0,c,4,0000e3da,ed00e3da,f,4
52,52,0,01640bb1,c,4,0000e3da,ed00e3da,f,4
53,53,0,01640bb2,c,4,0000e3da,ed00e3da,f,4
54,54,0,01640bb3,c,4,0000e3da,ed00e3da,f,4
55,55,0,01640bb4,c,4,0000e3da,ed00e3da,f,4
56,56,0,01640bb5,c,4,0000e3da,ed00e3da,f,4
57,57,0,01640bb6,c,4,0000e3da,ed00e3da,f,4
58,58,0,01640bb7,c,4,0000e3da,ed00e3da,f,4
59,59,0,01640bb8,c,4,0000e3da,ed00e3da,f,4
60,60,0,01640bb9,c,4,0000e3da,ed00e3da,f,4
61,61,0,01640bba,c,4,0000e3da,ed00e3da,f,4
62,62,0,01640bbb,c,4,0000e3da,ed00e3da,f,4
63,63,0,01640bbc,c,4,0000e3da,ed00e3da,f,4
64,64,0,01640bbd,c,4,0000e3da,ed00e3da,f,4
65,65,0,01640bbe,c,4,0000e3da,ed00e3da,f,4
66,66,0,01640bbf,c,4,0000e3da,ed00e3da,f,4
67,67,0,01640bc0,c,4,0000e3da,ed00e3da,f,4
68,68,0,01640bc1,c,4,0000e3da,ed00e3da,f,4
69,69,0,01640bc2,c,4,0000e3da,ed00e3da,f,4
70,70,0,01640bc3,c,4,0000e3da,ed00e3da,f,4
71,71,0,01640bc4,c,4,0000e3da,ed00e3da,f,4
72,72,0,01640bc5,c,4,0000e3da,ed00e3da,f,4
73,73,0,01640bc6,c,4,0000e3da,ed00e3da,f,4
74,74,0,01640bc7,c,4,0000e3da,ed00e3da,f,4
75,75,0,01640bc8,c,4,0000e3da,ed00e3da,f,4
76,76,0,01640bc9,c,4,0000e3da,ed00e3da,f,4
77,77,0,01640bca,c,4,0000e3da,ed00e3da,f,4
78,78,0,01640bcb,c,4,0000e3da,ed00e3da,f,4
79,79,0,01640bcc,c,4,0000e3da,ed00e3da,f,4
80,80,0,01640bcd,c,4,0000e3da,ed00e3da,f,4
81,81,0,01640bce,c,4,0000e3da,ed00e3da,f,4
82,82,0,01640bcf,c,4,0000e3da,ed00e3da,f,4
83,83,0,01640bd0,c,4,0000e3da,ed00e3da,f,4
84,84,0,01640bd1,c,4,0000e3da,ed00e3da,f,4
85,85,0,01640bd2,c,4,0000e3da,ed00e3da,f,4
86,86,0,01640bd3,c,4,0000e3da,ed00e3da,f,4
87,87,0,01640bd4,c,4,0000e3da,ed00e3da,f,4
88,88,0,01640bd5,c,4,0000e3da,ed00e3da,f,4
89,89,0,01640bd6,c,4,0000e3da,ed00e3da,f,4
90,90,0,01640bd7,c,4,0000e3da,ed00e3da,f,4
91,91,0,01640bd8,c,4,0000e3da,ed00e3da,f,4
92,92,0,01640bd9,c,4,0000e3da,ed00e3da,f,4
93,93,0,01640bda,c,4,0000e3da,ed00e3da,f,4
94,94,0,01640bdb,c,4,0000e3da,ed00e3da,f,4
95,95,0,01640bdc,c,4,0000e3da,ed00e3da,f,4
96,96,0,01640bdd,c,4,0000e3da,ed00e3da,f,4
97,97,0,01640bde,c,4,0000e3da,ed00e3da,f,4
98,98,0,01640bdf,c,4,0000e3da,ed00e3da,f,4
99,99,0,01640be0,c,4,0000e3da,ed00e3da,f,4
100,100,0,01640be1,c,4,0000e3da,ed00e3da,f,4
101,101,0,01640be2,c,4,0000e3da,ed00e3da,f,4
102,102,0,01640be3,c,4,0000e3da,ed00e3da,f,4
103,103,0,01640be4,c,4,0000e3da,ed00e3da,f,4
104,104,0,01640be5,c,6,0000e3da,ed00e3da,f,4
105,105,0,01640be6,c,7,0000e3db,ed00e3db,f,4
106,106,0,01640be7,c,7,0000e3db,ed00e3db,f,4
107,107,0,01640be8,c,7,0000e3db,ed00e3db,f,4
108,108,0,01640be9,c,7,0000e3db,ed00e3db,f,4
109,109,0,01640bea,c,7,0000e3db,ed00e3db,f,4
110,110,0,01640beb,c,7,0000e3db,ed00e3db,f,4
111,111,0,01640bec,c,7,0000e3db,ed00e3db,f,4
112,112,0,01640bed,c,7,0000e3db,ed00e3db,f,4
113,113,0,01640bee,c,7,0000e3db,ed00e3db,f,4
114,114,0,01640bef,c,7,0000e3db,ed00e3db,f,4
115,115,0,01640bf0,c,7,0000e3db,ed00e3db,f,4
116,116,0,01640bf1,c,7,0000e3db,ed00e3db,f,4
117,117,0,01640bf2,c,7,0000e3db,ed00e3db,f,4
118,118,0,01640bf3,c,7,0000e3db,ed00e3db,f,4
119,119,0,01640bf4,c,7,0000e3db,ed00e3db,f,4
120,120,0,01640bf5,c,7,0000e3db,ed00e3db,f,4
121,121,0,01640bf6,c,7,0000e3db,ed00e3db,f,4
122,122,0,01640bf7,c,7,0000e3db,ed00e3db,f,4
123,123,0,01640bf8,c,7,0000e3db,ed00e3db,f,4
124,124,0,01640bf9,c,7,0000e3db,ed00e3db,f,4
125,125,0,01640bfa,c,7,0000e3db,ed00e3db,f,4
126,126,0,01640bfb,c,7,0000e3db,ed00e3db,f,4
127,127,0,01640bfc,c,7,0000e3db,ed00e3db,f,4
128,128,0,01640bfd,c,7,0000e3db,ed00e3db,f,4
129,129,0,01640bfe,c,7,0000e3db,ed00e3db,f,4
130,130,0,01640bff,c,7,0000e3db,ed00e3db,f,4
131,131,0,01640c00,c,7,0000e3db,ed00e3db,f,4
132,132,0,01640c01,c,7,0000e3db,ed00e3db,f,4
133,133,0,01640c02,c,7,0000e3db,ed00e3db,f,4
134,134,0,01640c03,c,7,0000e3db,ed00e3db,f,4
135,135,0,01640c04,c,7,0000e3db,ed00e3db,f,4
136,136,0,01640c05,c,7,0000e3db,ed00e3db,f,4
137,137,0,01640c06,c,7,0000e3db,ed00e3db,f,4
138,138,0,01640c07,c,7,0000e3db,ed00e3db,f,4
139,139,0,01640c08,c,7,0000e3db,ed00e3db,f,4
140,140,0,01640c09,c,7,0000e3db,ed00e3db,f,4
141,141,0,01640c0a,c,7,0000e3db,ed00e3db,f,4
142,142,0,01640c0b,c,7,0000e3db,ed00e3db,f,4
143,143,0,01640c0c,c,7,0000e3db,ed00e3db,f,4
144,144,0,01640c0d,c,7,0000e3db,ed00e3db,f,4
145,145,0,01640c0e,c,7,0000e3db,ed00e3db,f,4
146,146,0,01640c0f,c,7,0000e3db,ed00e3db,f,4
147,147,0,01640c10,c,7,0000e3db,ed00e3db,f,4
148,148,0,01640c11,c,7,0000e3db,ed00e3db,f,4
149,149,0,01640c12,c,7,0000e3db,ed00e3db,f,4
150,150,0,01640c13,c,7,0000e3db,ed00e3db,f,4
151,151,0,01640c14,c,7,0000e3db,ed00e3db,f,4
152,152,0,01640c15,c,7,0000e3db,ed00e3db,f,4
153,153,0,01640c16,c,7,0000e3db,ed00e3db,f,4
154,154,0,01640c17,c,7,0000e3db,ed00e3db,f,4
155,155,0,01640c18,c,7,0000e3db,ed00e3db,f,4
156,156,0,01640c19,c,7,0000e3db,ed00e3db,f,4
157,157,0,01640c1a,c,7,0000e3db,ed00e3db,f,4
158,158,0,01640c1b,c,7,0000e3db,ed00e3db,f,4
159,159,0,01640c1c,c,7,0000e3db,ed00e3db,f,4
160,160,0,01640c1d,c,7,0000e3db,ed00e3db,f,4
161,161,0,01640c1e,c,7,0000e3db,ed00e3db,f,4
162,162,0,01640c1f,c,7,0000e3db,ed00e3db,f,4
163,163,0,01640c20,c,7,0000e3db,ed00e3db,f,4
164,164,0,01640c21,c,7,0000e3db,ed00e3db,f,4
165,165,0,01640c22,c,7,0000e3db,ed00e3db,f,4
166,166,0,01640c23,c,7,0000e3db,ed00e3db,f,4
167,167,0,01640c24,c,7,0000e3db,ed00e3db,f,4
168,168,0,01640c25,c,7,0000e3db,ed00e3db,f,4
169,169,0,01640c26,c,7,0000e3db,ed00e3db,f,4
170,170,0,01640c27,c,7,0000e3db,ed00e3db,f,4
171,171,0,01640c28,c,7,0000e3db,ed00e3db,f,4
172,172,0,01640c29,c,7,0000e3db,ed00e3db,f,4
173,173,0,01640c2a,c,7,0000e3db,ed00e3db,f,4
174,174,0,01640c2b,c,7,0000e3db,ed00e3db,f,4
175,175,0,01640c2c,c,7,0000e3db,ed00e3db,f,4
176,176,0,01640c2d,c,7,0000e3db,ed00e3db,f,4
177,177,0,01640c2e,c,7,0000e3db,ed00e3db,f,4
178,178,0,01640c2f,c,7,0000e3db,ed00e3db,f,4
179,179,0,01640c30,c,7,0000e3db,ed00e3db,f,4
180,180,0,01640c31,c,7,0000e3db,ed00e3db,f,4
