Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_reset_uart[3:0],probe2_liveness[2:0],probe3_pc_activity[31:0],probe4_nice_csr[31:0],probe5_nice_hs[3:0],probe6_mem_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,80000268,d,0,0038d6ba,00000000,3,1
1,1,0,80000268,d,0,0038d6ba,00000000,3,1
2,2,0,8000026a,d,4,0038d6bb,00000000,4,1
3,3,0,8000026a,d,0,0038d6bb,00000000,4,1
4,4,0,8000026a,d,0,0038d6bb,00000000,4,1
5,5,0,8000026e,d,4,0038d6bc,00000000,c,1
6,6,0,8000026e,d,0,0038d6bc,00000000,c,1
7,7,0,8000026e,d,0,0038d6bc,00000000,c,1
8,8,0,8000026e,d,0,0038d6bc,00000000,3,1
9,9,0,8000026e,d,0,0038d6bc,00000000,3,1
10,10,0,8000026e,d,0,0038d6bc,00000000,3,1
11,11,0,80000270,d,4,0038d6bd,00000000,4,1
12,12,0,80000270,d,0,0038d6bd,00000000,4,1
13,13,0,80000270,d,0,0038d6bd,00000000,4,1
14,14,0,80000274,d,4,0038d6be,00000000,c,1
15,15,0,80000274,d,0,0038d6be,00000000,c,1
16,16,0,80000274,d,0,0038d6be,00000000,c,1
17,17,0,80000274,d,0,0038d6be,00000000,b,1
18,18,0,80000274,d,0,0038d6be,00000000,b,1
19,19,0,80000274,d,0,0038d6be,00000000,b,1
20,20,0,80000278,d,4,0038d6bf,00000000,c,1
21,21,0,80000278,d,0,0038d6bf,00000000,c,1
22,22,0,80000278,d,0,0038d6bf,00000000,c,1
23,23,0,80000278,d,0,0038d6bf,00000000,c,1
24,24,0,80000278,d,0,0038d6bf,00000000,b,1
25,25,0,80000278,d,0,0038d6bf,00000000,b,1
26,26,0,80000278,d,0,0038d6bf,00000000,b,1
27,27,0,8000027c,d,4,0038d6c0,00000000,c,1
28,28,0,8000027c,d,0,0038d6c0,00000000,c,1
29,29,0,8000027c,d,0,0038d6c0,00000000,c,1
30,30,0,8000027c,d,0,0038d6c0,00000000,3,1
31,31,0,8000027c,d,0,0038d6c0,00000000,3,1
32,32,0,8000027c,d,0,0038d6c0,00000000,3,1
33,33,0,8000027e,d,4,0038d6c1,00000000,4,1
34,34,0,8000027e,d,0,0038d6c1,00000000,4,1
35,35,0,8000027e,d,0,0038d6c1,00000000,4,1
36,36,0,80000282,d,4,0038d6c2,00000000,c,1
37,37,0,80000282,d,0,0038d6c2,00000000,c,1
38,38,0,80000282,d,0,0038d6c2,00000000,c,1
39,39,0,80000282,d,0,0038d6c2,00000000,3,1
40,40,0,80000282,d,0,0038d6c2,00000000,3,1
41,41,0,80000282,d,0,0038d6c2,00000000,3,1
42,42,0,80000284,d,4,0038d6c3,00000000,4,1
43,43,0,80000284,d,0,0038d6c3,00000000,4,1
44,44,0,80000284,d,0,0038d6c3,00000000,4,1
45,45,0,80000288,d,4,0038d6c4,00000000,4,1
46,46,0,80000288,d,0,0038d6c4,00000000,c,1
47,47,0,80000288,d,0,0038d6c4,00000000,c,1
48,48,0,80000288,d,0,0038d6c4,00000000,c,1
49,49,0,80000288,d,0,0038d6c4,00000000,3,1
50,50,0,80000288,d,0,0038d6c4,00000000,3,1
51,51,0,80000288,d,0,0038d6c4,00000000,3,1
52,52,0,8000028a,d,4,0038d6c5,00000000,4,1
53,53,0,8000028a,d,0,0038d6c5,00000000,4,1
54,54,0,8000028a,d,0,0038d6c5,00000000,4,1
55,55,0,8000028e,d,4,0038d6c6,00000000,c,1
56,56,0,8000028e,d,0,0038d6c6,00000000,c,1
57,57,0,8000028e,d,0,0038d6c6,00000000,c,1
58,58,0,8000028e,d,0,0038d6c6,00000000,3,1
59,59,0,8000028e,d,0,0038d6c6,00000000,3,1
60,60,0,8000028e,d,0,0038d6c6,00000000,3,1
61,61,0,80000290,d,4,0038d6c7,00000000,4,1
62,62,0,80000290,d,0,0038d6c7,00000000,4,1
63,63,0,80000290,d,0,0038d6c7,00000000,4,1
64,64,0,80000294,d,4,0038d6c8,00000000,c,1
65,65,0,80000294,d,0,0038d6c8,00000000,c,1
66,66,0,80000294,d,0,0038d6c8,00000000,c,1
67,67,0,80000294,d,0,0038d6c8,00000000,b,1
68,68,0,80000294,d,0,0038d6c8,00000000,b,1
69,69,0,80000294,d,0,0038d6c8,00000000,b,1
70,70,0,80000298,d,4,0038d6c9,00000000,c,1
71,71,0,80000298,d,0,0038d6c9,00000000,c,1
72,72,0,80000298,d,0,0038d6c9,00000000,c,1
73,73,0,80000298,d,0,0038d6c9,00000000,c,1
74,74,0,80000298,d,0,0038d6c9,00000000,9,1
75,75,0,80000298,d,0,0038d6c9,00000000,9,1
76,76,0,80000298,d,0,0038d6c9,00000000,9,1
77,77,0,8000029c,d,4,0038d6ca,00000000,9,1
78,78,0,8000029c,d,0,0038d6ca,00000000,9,1
79,79,0,8000029c,d,0,0038d6ca,00000000,9,1
80,80,0,8000029c,d,0,0038d6ca,00000000,b,1
81,81,0,8000029c,d,0,0038d6ca,00000000,b,1
82,82,0,8000029c,d,0,0038d6ca,00000000,b,1
83,83,0,8000029c,d,0,0038d6ca,00000000,c,1
84,84,0,8000029c,d,0,0038d6ca,00000000,c,1
85,85,0,8000029c,d,0,0038d6ca,00000000,c,1
86,86,0,8000029c,d,0,0038d6ca,00000000,3,1
87,87,0,8000029c,d,0,0038d6ca,00000000,3,1
88,88,0,8000029c,d,0,0038d6ca,00000000,3,1
89,89,0,800002a0,d,4,0038d6cb,00000000,4,1
90,90,0,800002a0,d,0,0038d6cb,00000000,4,1
91,91,0,800002a0,d,0,0038d6cb,00000000,4,1
92,92,0,800002a0,d,0,0038d6cb,00000000,4,1
93,93,0,800002a0,d,0,0038d6cb,00000000,4,1
94,94,0,800002a0,d,0,0038d6cb,00000000,4,1
95,95,0,800002a2,d,4,0038d6cc,00000000,4,1
96,96,0,800002a2,d,0,0038d6cc,00000000,4,1
97,97,0,800002a2,d,0,0038d6cc,00000000,4,1
98,98,0,800002a2,d,0,0038d6cc,00000000,4,1
99,99,0,800002a6,d,4,0038d6cd,00000000,4,1
100,100,0,800002a6,d,0,0038d6cd,00000000,4,1
101,101,0,800002a6,d,0,0038d6cd,00000000,4,1
102,102,0,800002a6,d,0,0038d6cd,00000000,4,1
103,103,0,800002a6,d,0,0038d6cd,00000000,4,1
104,104,0,800002a6,d,0,0038d6cd,00000000,4,1
105,105,0,800002aa,d,4,0038d6ce,00000000,4,1
106,106,0,800002aa,d,0,0038d6ce,00000000,4,1
107,107,0,800002aa,d,0,0038d6ce,00000000,4,1
108,108,0,800002ac,d,4,0038d6cf,00000000,4,1
109,109,0,800002ac,d,0,0038d6cf,00000000,4,1
110,110,0,800002ac,d,0,0038d6cf,00000000,4,1
111,111,0,800002ac,d,0,0038d6cf,00000000,4,1
112,112,0,800002ac,d,0,0038d6cf,00000000,4,1
113,113,0,800002ac,d,0,0038d6cf,00000000,4,1
114,114,0,800002ae,d,4,0038d6d0,00000000,4,1
115,115,0,800002ae,d,0,0038d6d0,00000000,4,1
116,116,0,800002ae,d,0,0038d6d0,00000000,4,1
117,117,0,800002b2,d,4,0038d6d1,00000000,4,1
118,118,0,800002b2,d,0,0038d6d1,00000000,4,1
119,119,0,800002b2,d,0,0038d6d1,00000000,4,1
120,120,0,800002b2,d,0,0038d6d1,00000000,4,1
121,121,0,800002b2,d,0,0038d6d1,00000000,4,1
122,122,0,800002b2,d,0,0038d6d1,00000000,4,1
123,123,0,800002b2,d,0,0038d6d1,00000000,4,1
124,124,0,800002b2,d,0,0038d6d1,00000000,4,1
125,125,0,800002b2,d,0,0038d6d1,00000000,4,1
126,126,0,800002b2,d,0,0038d6d1,00000000,4,1
127,127,0,800002b2,d,0,0038d6d1,00000000,4,1
128,128,0,800002b2,d,0,0038d6d1,00000000,4,1
129,129,0,800002b2,d,0,0038d6d1,00000000,4,1
130,130,0,800002b2,d,0,0038d6d1,00000000,4,1
131,131,0,800002b2,d,0,0038d6d1,00000000,4,1
132,132,0,800002b2,d,0,0038d6d1,00000000,4,1
133,133,0,800002b2,d,0,0038d6d1,00000000,4,1
134,134,0,800002b2,d,0,0038d6d1,00000000,4,1
135,135,0,800002b2,d,0,0038d6d1,00000000,4,1
136,136,0,800002b2,d,0,0038d6d1,00000000,4,1
137,137,0,800002b2,d,0,0038d6d1,00000000,4,1
138,138,0,800002b2,d,0,0038d6d1,00000000,4,1
139,139,0,800002b2,d,0,0038d6d1,00000000,4,1
140,140,0,800002b2,d,0,0038d6d1,00000000,4,1
141,141,0,800002b2,d,0,0038d6d1,00000000,4,1
142,142,0,800002b2,d,0,0038d6d1,00000000,4,1
143,143,0,800002b2,d,0,0038d6d1,00000000,4,1
144,144,0,800002b2,d,0,0038d6d1,00000000,4,1
145,145,0,800002b2,d,0,0038d6d1,00000000,4,1
146,146,0,800002b2,d,0,0038d6d1,00000000,4,1
147,147,0,800002b2,d,0,0038d6d1,00000000,4,1
