Sample in Buffer,Sample in Window,TRIGGER,probe0_pc[31:0],probe1_reset_uart[3:0],probe2_liveness[2:0],probe3_pc_activity[31:0],probe4_nice_csr[31:0],probe5_nice_hs[3:0],probe6_mem_status[2:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX
0,0,0,00000000,d,0,000ed645,00000000,4,3
1,1,0,00000000,d,0,000ed645,00000000,4,3
2,2,0,00000000,d,0,000ed645,00000000,4,1
3,3,0,00000000,d,0,000ed645,00000000,4,1
4,4,0,00000000,d,0,000ed645,00000000,4,1
5,5,0,00000000,d,0,000ed645,00000000,4,1
6,6,0,00000000,d,0,000ed645,00000000,4,1
7,7,0,00000000,d,0,000ed645,00000000,4,1
8,8,0,00000000,d,0,000ed645,00000000,4,5
9,9,0,00000000,d,0,000ed645,00000000,4,5
10,10,0,00000000,d,0,000ed645,00000000,4,5
11,11,0,00000002,d,4,000ed646,00000000,4,1
12,12,0,00000002,d,0,000ed646,00000000,4,1
13,13,0,00000002,d,0,000ed646,00000000,4,1
14,14,0,00000000,d,4,000ed647,00000000,4,3
15,15,0,00000000,d,0,000ed647,00000000,4,3
16,16,0,00000000,d,0,000ed647,00000000,4,3
17,17,0,00000000,d,0,000ed647,00000000,4,1
18,18,0,00000000,d,0,000ed647,00000000,4,1
19,19,0,00000000,d,0,000ed647,00000000,4,1
20,20,0,00000000,d,0,000ed647,00000000,4,1
21,21,0,00000000,d,0,000ed647,00000000,4,1
22,22,0,00000000,d,0,000ed647,00000000,4,1
23,23,0,00000000,d,0,000ed647,00000000,4,5
24,24,0,00000000,d,0,000ed647,00000000,4,5
25,25,0,00000000,d,0,000ed647,00000000,4,5
26,26,0,00000000,d,0,000ed647,00000000,4,1
27,27,0,00000000,d,0,000ed647,00000000,4,1
28,28,0,00000000,d,0,000ed647,00000000,4,1
29,29,0,00000000,d,0,000ed647,00000000,4,1
30,30,0,00000000,d,0,000ed647,00000000,4,3
31,31,0,00000000,d,0,000ed647,00000000,4,3
32,32,0,00000000,d,0,000ed647,00000000,4,3
33,33,0,00000000,d,0,000ed647,00000000,4,1
34,34,0,00000000,d,0,000ed647,00000000,4,1
35,35,0,00000000,d,0,000ed647,00000000,4,1
36,36,0,00000000,d,0,000ed647,00000000,4,1
37,37,0,00000000,d,0,000ed647,00000000,4,1
38,38,0,00000000,d,0,000ed647,00000000,4,1
39,39,0,00000000,d,0,000ed647,00000000,4,5
40,40,0,00000000,d,0,000ed647,00000000,4,5
41,41,0,00000000,d,0,000ed647,00000000,4,5
42,42,0,00000000,d,0,000ed647,00000000,4,1
43,43,0,00000000,d,0,000ed647,00000000,4,1
44,44,0,00000000,d,0,000ed647,00000000,4,1
45,45,0,00000000,d,0,000ed647,00000000,4,3
46,46,0,00000000,d,0,000ed647,00000000,4,3
47,47,0,00000000,d,0,000ed647,00000000,4,3
48,48,0,00000000,d,0,000ed647,00000000,4,1
49,49,0,00000000,d,0,000ed647,00000000,4,1
50,50,0,00000000,d,0,000ed647,00000000,4,1
51,51,0,00000000,d,0,000ed647,00000000,4,1
52,52,0,00000000,d,0,000ed647,00000000,4,1
53,53,0,00000000,d,0,000ed647,00000000,4,1
54,54,0,00000000,d,0,000ed647,00000000,4,1
55,55,0,00000000,d,0,000ed647,00000000,4,5
56,56,0,00000000,d,0,000ed647,00000000,4,5
57,57,0,00000000,d,0,000ed647,00000000,4,5
58,58,0,00000002,d,4,000ed648,00000000,4,1
59,59,0,00000002,d,0,000ed648,00000000,4,1
60,60,0,00000002,d,0,000ed648,00000000,4,1
61,61,0,00000000,d,4,000ed649,00000000,4,3
62,62,0,00000000,d,0,000ed649,00000000,4,3
63,63,0,00000000,d,0,000ed649,00000000,4,3
64,64,0,00000000,d,0,000ed649,00000000,4,1
65,65,0,00000000,d,0,000ed649,00000000,4,1
66,66,0,00000000,d,0,000ed649,00000000,4,1
67,67,0,00000000,d,0,000ed649,00000000,4,1
